actor,nummovies,Wavgprofit,GenreName
"John C. McGinley",2,137003.607436566,Comedy
"Michael Ealy",2,129570.38944715999,Comedy
"Joy Bryant",2,129570.38944715999,Comedy
"Bud Cort",2,117470.06636619,Comedy
"Barret Hackney",2,117470.06636619,Comedy
"Jared Pfennigwerth",2,117470.06636619,Comedy
"Kitao Sakurai",2,117470.06636619,Comedy
"Rodney Dangerfield",2,117115.322586864,Comedy
"Ted Knight",2,117115.322586864,Comedy
"Michael O'Keefe",2,117115.322586864,Comedy
"Owen Wilson",2,113428.94714208599,Comedy
"Will Ferrell",2,113428.94714208599,Comedy
"Mandy Moore",2,105670.653179598,Comedy
"Gabriel Macht",2,105670.653179598,Comedy
"Spike Lee",4,90764.703657828,Comedy
"Danny Glover",2,88212.78242223599,Comedy
Mo'Nique,2,88212.78242223599,Comedy
"Anna Rust",2,87541.959205428,Comedy
"Jeremy Robson",2,87541.959205428,Comedy
"Petr Ratimec",2,87541.959205428,Comedy
"Barbora Lukesová",2,87541.959205428,Comedy
"Anthony Anderson",4,83699.17549666199,Comedy
"Ice Cube",2,81407.69562801,Comedy
"John Witherspoon",2,81407.69562801,Comedy
"Don 'D.C.' Curry",2,81407.69562801,Comedy
"Michelle Pfeiffer",2,72936.094039446,Comedy
"Dianna Agron",2,72936.094039446,Comedy
"John D'Leo",2,72936.094039446,Comedy
"Ray Liotta",2,68352.30378795,Comedy
"Jason Lee",2,68352.30378795,Comedy
"Sigourney Weaver",2,68352.30378795,Comedy
"Selena Gomez",2,68120.276214414,Comedy
"Katie Cassidy",2,68120.276214414,Comedy
"Leighton Meester",2,68120.276214414,Comedy
"Cory Monteith",2,68120.276214414,Comedy
"Vanessa Williams",2,66736.159212354,Comedy
Solange,2,66736.159212354,Comedy
"Shad Moss",2,66736.159212354,Comedy
"Kathleen Turner",4,62510.88858955,Comedy
"Michael Caine",2,61946.566288596,Comedy
"Robert Duvall",2,61946.566288596,Comedy
"Haley Joel Osment",2,61946.566288596,Comedy
"Kyra Sedgwick",2,61946.566288596,Comedy
"Jessica St. Clair",2,60973.843558494,Comedy
"Christopher Nicholas Smith",2,60973.843558494,Comedy
"Julia Louis-Dreyfus",2,60973.843558494,Comedy
"Amber Tamblyn",2,59758.210906986,Comedy
"Alexis Bledel",2,59758.210906986,Comedy
"Blake Lively",2,59758.210906986,Comedy
"Anne Heche",2,59606.262880908,Comedy
"Julianne Moore",2,59606.262880908,Comedy
"Patti D'Arbanville",2,57004.513228272,Comedy
"Dabney Coleman",2,57004.513228272,Comedy
"Mary Kay Place",2,57004.513228272,Comedy
"John Beck",2,56556.129354174,Comedy
"Mary Gregory",2,56556.129354174,Comedy
"Cedric the Entertainer",4,51361.810978162,Comedy
"Carter Jenkins",2,50350.436744298,Comedy
"Austin Butler",2,50350.436744298,Comedy
"Ashley Tisdale",2,50350.436744298,Comedy
"Ashley Boettcher",2,50350.436744298,Comedy
"Christopher Lloyd",2,48967.07060694,Comedy
"Kim Cattrall",2,48967.07060694,Comedy
"Peter MacNicol",2,48967.07060694,Comedy
"Peter Berg",2,48844.624297218,Comedy
"Chris Kattan",2,48844.624297218,Comedy
"Vinessa Shaw",2,48844.624297218,Comedy
"Peter Falk",2,48844.624297218,Comedy
"Jason Drucker",2,47091.939992862,Comedy
"Charlie Wright",2,47091.939992862,Comedy
"Halle Berry",2,47027.808534858,Comedy
"Ed Helms",2,47027.808534858,Comedy
"Carolyn Saxon",2,41295.748922262,Comedy
"Tracey Ullman",2,41295.748922262,Comedy
"Michael Rapaport",2,41295.748922262,Comedy
"Robert Ben Garant",2,41008.153900572,Comedy
"Niecy Nash",2,41008.153900572,Comedy
"Dylan Baker",4,40347.522270252,Comedy
"Freddie Prinze Jr.",2,38184.44587386,Comedy
"Julia Stiles",2,38184.44587386,Comedy
"Selma Blair",2,38184.44587386,Comedy
"Shawn Hatosy",2,38184.44587386,Comedy
JoJo,2,37989.439044318,Comedy
"Sara Paxton",2,37989.439044318,Comedy
"Jake McDorman",2,37989.439044318,Comedy
"Craig Gellis",2,37037.50869207,Comedy
"Rich Cooper",2,37037.50869207,Comedy
"Max Thieriot",2,37037.50869207,Comedy
"Alicia Silverstone",4,36146.685643558,Comedy
"Jordan Carlos",2,34457.520274968,Comedy
"Dequina Moore",2,34457.520274968,Comedy
"Joseph Badalucco Jr.",2,34457.520274968,Comedy
"Greg Kinnear",2,34457.520274968,Comedy
"Vivica A. Fox",2,32496.351638699998,Comedy
"Morris Chestnut",2,32496.351638699998,Comedy
"Levi Stubbs",2,30267.75406131,Comedy
"Rick Moranis",2,30267.75406131,Comedy
"Ellen Greene",2,30267.75406131,Comedy
"Vincent Gardenia",2,30267.75406131,Comedy
"Tisha Campbell-Martin",2,29570.380683864,Comedy
Kyme,2,29570.380683864,Comedy
"Laurence Fishburne",2,29570.380683864,Comedy
"Nicole Kidman",2,28847.727041382,Comedy
"Stockard Channing",2,28847.727041382,Comedy
"Dianne Wiest",2,28847.727041382,Comedy
"Bresha Webb",2,28363.557716832,Comedy
"Gary Owen",2,28363.557716832,Comedy
"Zulay Henao",2,28363.557716832,Comedy
"Miles Thompson",2,26351.074225584,Comedy
"Brandon Ratcliff",2,26351.074225584,Comedy
"John Hawkes",2,26351.074225584,Comedy
"Miranda July",2,26351.074225584,Comedy
"Carlos Mencia",2,25642.015732476,Comedy
"Forest Whitaker",2,25642.015732476,Comedy
"Tracy Camilla Johns",2,24091.691195412,Comedy
"Tommy Redmond Hicks",2,24091.691195412,Comedy
"John Canada Terrell",2,24091.691195412,Comedy
"Scott Terra",2,23302.708864116,Comedy
"David Spade",2,23302.708864116,Comedy
"Mary McCormack",2,23302.708864116,Comedy
"Craig Bierko",2,23302.708864116,Comedy
"Denzel Washington",2,21290.647517999998,Comedy
"Wesley Snipes",2,21290.647517999998,Comedy
"Spencer Breslin",2,16222.774447104,Comedy
"Emily Mortimer",2,16222.774447104,Comedy
"Lily Tomlin",2,16222.774447104,Comedy
"Adam Boyer",2,14431.007115978,Comedy
"Greg Andrews",2,14431.007115978,Comedy
Monica,2,14431.007115978,Comedy
"Brandon Bernard Benton",2,14431.007115978,Comedy
"Robert Urich",2,14101.68893034,Comedy
"Mary Crosby",2,14101.68893034,Comedy
"Michael D. Roberts",2,14101.68893034,Comedy
"Anjelica Huston",2,14101.68893034,Comedy
"John Wayne",2,13543.246284,Comedy
"Lee Marvin",2,13543.246284,Comedy
"Elizabeth Allen",2,13543.246284,Comedy
"Jack Warden",2,13543.246284,Comedy
"Basil Harris",2,12706.976777508,Comedy
"Mary Lynn Rajskub",2,12706.976777508,Comedy
"Aubrey Plaza",2,12706.976777508,Comedy
"Lauren Carlos",2,12706.976777508,Comedy
"Nick Searcy",2,10670.46215559,Comedy
"Bernie Mac",2,10670.46215559,Comedy
"Jane Adams",2,9503.293149318,Comedy
"Jon Lovitz",2,9503.293149318,Comedy
"Philip Seymour Hoffman",2,9503.293149318,Comedy
"Hannah Spearritt",2,9353.224015098,Comedy
"Cynthia Stevenson",2,9353.224015098,Comedy
"Frankie Muniz",2,9353.224015098,Comedy
"Paul Soter",2,9201.781179096,Comedy
"Erik Stolhanske",2,9201.781179096,Comedy
"Cloris Leachman",2,9201.781179096,Comedy
"M.C. Gainey",2,9201.781179096,Comedy
"Ginger Rogers",2,8972.314158,Comedy
"Edward Everett Horton",2,8972.314158,Comedy
"Erik Rhodes",2,8972.314158,Comedy
"Fred Astaire",2,8972.314158,Comedy
"Tim Robbins",6,8295.954348094001,Comedy
"Richard E. Grant",2,6063.620011722,Comedy
"Dolly Wells",2,6063.620011722,Comedy
"Ben Falcone",2,6063.620011722,Comedy
"Jason Robards",2,4439.631149124,Comedy
"Stella Stevens",2,4439.631149124,Comedy
"David Warner",2,4439.631149124,Comedy
"Strother Martin",2,4439.631149124,Comedy
"Joe Pesci",2,3470.185234104,Comedy
"Andy Comeau",2,3470.185234104,Comedy
"Kristy Swanson",2,3470.185234104,Comedy
"George Hamilton",2,3470.185234104,Comedy
"Ben Affleck",2,2949.6526046999998,Comedy
"Casey Affleck",2,2949.6526046999998,Comedy
"Jennifer Albano",2,2949.6526046999998,Comedy
"Jenni Blong",2,2949.6526046999998,Comedy
"Kathryn Alexander",2,2506.147621062,Comedy
"Teodorina Bello",2,2506.147621062,Comedy
"Kate Blumberg",2,2506.147621062,Comedy
"Jonah Bobo",2,2506.147621062,Comedy
"Nick Offerman",2,1456.615238172,Comedy
"Kiersey Clemons",2,1456.615238172,Comedy
"Blythe Danner",2,1456.615238172,Comedy
"Toni Collette",2,1456.615238172,Comedy
"Jennifer Connelly",2,419.297382462,Comedy
"Patrick Wilson",2,419.297382462,Comedy
"Jackie Earle Haley",2,419.297382462,Comedy
"Leslie Mann",2,-2144.27235717,Comedy
"Eric Bana",2,-2144.27235717,Comedy
"Miles Teller",2,-2532.590515314,Comedy
"Jessica Szohr",2,-2532.590515314,Comedy
"Kid Cudi",2,-2532.590515314,Comedy
"Barbra Streisand",2,-2534.708161386,Comedy
"Jeff Bridges",2,-2534.708161386,Comedy
"Lauren Bacall",2,-2534.708161386,Comedy
"George Segal",2,-2534.708161386,Comedy
"Dan Aykroyd",2,-3610.417002666,Comedy
"Phil Hartman",2,-3610.417002666,Comedy
"Glenne Headly",2,-3610.417002666,Comedy
"LL Cool J",2,-5732.706671118,Comedy
