actor,nummovies,Wavgrating,GenreName
"Rasmus Hardiker",2,0.09169545899999999,Comedy
"Dabney Coleman",2,0.09169545899999999,Comedy
"Natalie Portman",2,0.09169545899999999,Comedy
"Mary Kay Place",2,0.09169545899999999,Comedy
"Miriam Margolyes",2,0.089965356,Comedy
"Susan Sarandon",2,0.089965356,Comedy
"Kathy Bates",2,0.089965356,Comedy
"Allison Janney",2,0.089965356,Comedy
"David Spade",2,0.089965356,Comedy
"Jeff Goldblum",2,0.089965356,Comedy
"Mary McCormack",2,0.089965356,Comedy
"Elizabeth Perkins",2,0.089965356,Comedy
"Craig Bierko",2,0.089965356,Comedy
"Alexander Pollock",2,0.089965356,Comedy
"Scott Terra",2,0.089965356,Comedy
"Kristy Swanson",2,0.088235253,Comedy
"Julianne Moore",2,0.088235253,Comedy
"Art Bonilla",2,0.088235253,Comedy
"Jessica Cook",2,0.088235253,Comedy
"George Hamilton",2,0.088235253,Comedy
"Bart McCarthy",2,0.088235253,Comedy
"Lance Henriksen",2,0.088235253,Comedy
"Frankie Muniz",2,0.088235253,Comedy
"Clifton Collins Jr.",2,0.088235253,Comedy
"Matt Damon",2,0.088235253,Comedy
"Hannah Spearritt",2,0.088235253,Comedy
"Joe Pesci",2,0.088235253,Comedy
"Nick Cannon",2,0.088235253,Comedy
"Christoph Waltz",2,0.088235253,Comedy
"Cynthia Stevenson",2,0.088235253,Comedy
"Andy Comeau",2,0.088235253,Comedy
"Anne Heche",2,0.088235253,Comedy
"Adrian Young",2,0.088235253,Comedy
"Matt O'Leary",2,0.088235253,Comedy
"Hong Chau",2,0.088235253,Comedy
"Paul Rudd",2,0.08650515,Comedy
"J. Evan Bonifant",2,0.08650515,Comedy
"Mark Webber",2,0.08650515,Comedy
"Adam Brody",2,0.08650515,Comedy
"Freddie Prinze Jr.",2,0.08650515,Comedy
"Jean Smart",2,0.08650515,Comedy
"Jon Hamm",2,0.08650515,Comedy
"Julia Stiles",2,0.08650515,Comedy
"Jorge Garcia",2,0.08650515,Comedy
"Schuyler Fisk",2,0.08650515,Comedy
"Selma Blair",2,0.08650515,Comedy
"Taylor Lautner",2,0.08650515,Comedy
"Victor Wong",2,0.08650515,Comedy
"Shawn Hatosy",2,0.08650515,Comedy
"Max Elliott Slade",2,0.08650515,Comedy
"Sean Fox",2,0.08650515,Comedy
"Chris Elliott",2,0.08650515,Comedy
"Mark Dacascos",2,0.079584738,Comedy
"Elizabeth Banks",2,0.079584738,Comedy
Solange,2,0.079584738,Comedy
"Kathryn Hahn",2,0.079584738,Comedy
"Michael Beattie",2,0.079584738,Comedy
"Shad Moss",2,0.079584738,Comedy
"Jeffrey Tambor",2,0.079584738,Comedy
"Lucy Liu",2,0.079584738,Comedy
"Bruce Greenwood",2,0.079584738,Comedy
"Nicollette Sheridan",2,0.079584738,Comedy
Madonna,2,0.079584738,Comedy
